code_type,code,name,qty,unit,category
full,8859708501164,2P ORIGINAL โอ้ มาย ทินท์ กลอส เบอร์ 01,0,,2P
full,8859708501171,2P ORIGINAL โอ้ มาย ทินท์ กลอส เบอร์ 02,0,,2P
full,8859708501188,2P ORIGINAL โอ้ มาย ทินท์ กลอส เบอร์ 03,0,,2P
full,8859708501195,2P ORIGINAL โอ้ มาย ทินท์ กลอส เบอร์ 04,0,,2P
full,8859708501201,2P ORIGINAL โอ้ มาย ทินท์ กลอส เบอร์ 05,0,,2P
full,8859708501218,2P ORIGINAL โอ้ มาย ทินท์ กลอส เบอร์ 06,0,,2P
full,8859708501225,2P ORIGINAL โอ้ มาย ทินท์ กลอส เบอร์ 07,0,,2P
full,8859708501232,2P ORIGINAL โอ้ มาย ทินท์ กลอส เบอร์ 08,0,,2P
full,8859708501249,2P ORIGINAL โอ้ มาย ทินท์ กลอส เบอร์ 09,0,,2P
full,8850723750612,Alese ไฮยา ไวท์ บูสเตอร์ ซุปเปอร์ เซรั่ม (ซอง),0,,ALESE
full,8858883517892,AP-052 แอชลี่ย์ อาย แอเรีย เพ็นซิล 04 น้ำตาล,0,,ashley
full,8858883517960,AA-239-01 แอชลี่ย์ ชาร์มมิ้ง ดับเบิ้ล อายลิด สติ๊กเกอร์ ไซค์ S,0,,ashley
full,8858883517977,AA-239-02 แอชลี่ย์ ชาร์มมิ้ง ดับเบิ้ล อายลิด สติ๊กเกอร์ ไซค์ M,0,,ashley
full,8858883518929,AA138 แอชลี่ย์ แปรงเสริมสวย เบอร์ 01,0,,ashley
full,8858883518936,AA138 แอชลี่ย์ แปรงเสริมสวย เบอร์ 02,0,,ashley
full,8858883518943,AA138 แอชลี่ย์ แปรงเสริมสวย เบอร์ 03,0,,ashley
full,8858883518950,AA138 แอชลี่ย์ แปรงเสริมสวย เบอร์ 04,0,,ashley
full,8858883518967,AA138 แอชลี่ย์ แปรงเสริมสวย เบอร์ 05,0,,ashley
full,8858883521264,AA-030 แอชลี่ ชุดแปรง เบอร์ 01 สีขาว,0,,ashley
full,8858883521295,AA-030 แอชลี่ ชุดแปรง เบอร์ 04 สีดำ,0,,ashley
full,8858883521868,AA-005 แอชลีย์ แปรงปัดแก้มด้ามสั้น #สีดำ,0,,ashley
full,8858883526627,AA115-01 แปรงเสริมสวย เบอร์ 01,0,,ashley
full,8858883526634,AA115-02 แปรงเสริมสวย เบอร์ 02,0,,ashley
full,8858883526764,AA-181 แอชลี่ย์ อุปกรณ์สำหรับกดสิว,0,,ashley
full,8858883526955,AA-005D-01 ashley แปรงปัดแก้มดามสั้น #สีทอง,0,,ashley
full,8858883527044,AA-186 แอชลี่ย์ มินิ พัฟ,0,,ashley
full,8858883536695,A-438 แอชลี่ย์ ออน สเทจ อายไลน์เนอร์ สีดำ เบอร์ 01,0,,ashley
full,8858883536701,A-438 แอชลี่ย์ ออน สเทจ อายไลน์เนอร์ สีน้ำตาล เบอร์ 02,0,,ashley
full,8858883536718,A-439 แอชลี่ย์ เพ็นซิล อายโบรว์ เบอร์ 01,0,,ashley
full,8858883536725,A-439 แอชลี่ย์ เพ็นซิล อายโบรว์ เบอร์ 02,0,,ashley
